index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
41,130,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,2.284600389863548,2.0,1.6068771892936624
52,131,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,2.120857699805068,2.0,1.4422116004802812
100,132,21.83187134502924,17.0,14.450996493859726,5.592592592592593,5.0,2.6520469824601003,2.186159844054581,2.0,1.5577438929011622
136,133,21.83187134502924,17.0,14.450996493859726,5.5170565302144245,5.0,2.650667378815526,3.503898635477583,3.0,1.5627565705941666
59,134,21.83187134502924,17.0,14.450996493859726,5.361111111111111,5.0,2.54471629408661,3.060916179337232,2.0,2.098429386143676
160,135,21.83187134502924,17.0,14.450996493859726,5.384015594541911,5.0,2.5729148148200163,4.896198830409356,5.0,2.2577555108548215
86,136,21.742690058479532,17.0,14.467774515789413,4.786549707602339,5.0,2.1779118967711772,3.9137426900584797,4.0,1.6859375434342077
77,137,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,3.858674463937622,4.0,2.1851205071319066
53,138,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,3.5014619883040936,3.0,2.150254893333979
62,139,21.83187134502924,17.0,14.450996493859726,5.592592592592593,5.0,2.6520469824601003,3.3133528265107213,3.0,2.1475910480990072
116,140,21.83187134502924,17.0,14.450996493859726,5.5170565302144245,5.0,2.650667378815526,5.159844054580897,5.0,2.3824454646542113
146,141,21.802144249512672,17.0,14.463384906626851,7.864035087719298,7.0,3.7906622543314645,2.1603313840155947,2.0,1.3362607788772778
105,142,21.81140350877193,17.0,14.452835466674518,6.1379142300194935,6.0,2.8203110119708463,1.8216374269005848,2.0,0.9463211888234322
75,143,20.10410557184751,16.0,14.482344457457437,4.797165200391007,5.0,2.2367046532125823,1.9740957966764419,2.0,0.8755374394812729
126,144,21.835282651072124,17.0,14.449669294778188,7.874756335282651,7.0,3.793603149418021,2.120857699805068,2.0,1.4062664121927968
88,145,21.835282651072124,17.0,14.449669294778188,7.874269005847953,7.0,3.7935227587642335,1.996101364522417,2.0,1.221050696319382
92,146,21.803118908382068,17.0,14.463162238598535,7.865984405458089,7.0,3.793046173493929,2.266569200779727,2.0,1.4964913697979716
101,147,21.816764132553605,17.0,14.454000799419678,7.253898635477583,7.0,3.456120343086696,2.06140350877193,2.0,1.2294657915399323
31,148,21.802144249512672,17.0,14.463384906626851,7.864035087719298,7.0,3.7906622543314645,3.23635477582846,3.0,2.0826847539559146
0,149,21.81140350877193,17.0,14.452835466674518,6.1379142300194935,6.0,2.8203110119708463,2.3864522417153995,2.0,1.1760123541873246
111,150,20.10410557184751,16.0,14.482344457457437,4.797165200391007,5.0,2.2367046532125823,2.184261974584555,2.0,1.0093773615383512
30,151,21.835282651072124,17.0,14.449669294778188,7.874756335282651,7.0,3.793603149418021,3.2309941520467835,3.0,2.222454089596811
18,152,21.835282651072124,17.0,14.449669294778188,7.874269005847953,7.0,3.7935227587642335,3.1164717348927877,3.0,2.0528325622657344
24,153,21.803118908382068,17.0,14.463162238598535,7.865984405458089,7.0,3.793046173493929,3.317738791423002,3.0,2.287143631523825
51,154,21.816764132553605,17.0,14.454000799419678,7.253898635477583,7.0,3.456120343086696,2.706627680311891,2.0,1.5088540673509678
14,155,21.802144249512672,17.0,14.463384906626851,7.864035087719298,7.0,3.7906622543314645,4.562865497076023,4.0,2.8876990202974766
23,156,21.81140350877193,17.0,14.452835466674518,6.1379142300194935,6.0,2.8203110119708463,3.7387914230019494,3.0,1.6914607863542919
